2026-06-11 00:48:49,728 - INFO - Epoch 5 | Step 800 | Loss: 4.0738
2026-06-11 00:49:05,139 - INFO - Epoch 5 | Step 900 | Loss: 4.0727
2026-06-11 00:49:20,542 - INFO - Epoch 5 | Step 1000 | Loss: 4.0719
2026-06-11 00:49:38,713 - INFO - Epoch 5 | Step 1100 | Loss: 4.0674
2026-06-11 00:49:54,012 - INFO - Epoch 5 | Step 1200 | Loss: 4.0630
2026-06-11 00:50:12,263 - INFO - Epoch 5 | Step 1300 | Loss: 4.0596
2026-06-11 00:50:27,499 - INFO - Epoch 5 | Step 1400 | Loss: 4.0584
2026-06-11 00:50:45,917 - INFO - Epoch 5 | Step 1500 | Loss: 4.0542
2026-06-11 00:51:01,064 - INFO - Epoch 5 | Step 1600 | Loss: 4.0522
2026-06-11 00:51:28,489 - INFO - Epoch 6 | Step 100 | Loss: 3.8270
2026-06-11 00:51:47,014 - INFO - Epoch 6 | Step 200 | Loss: 3.8229
2026-06-11 00:52:02,132 - INFO - Epoch 6 | Step 300 | Loss: 3.8266
2026-06-11 00:52:20,541 - INFO - Epoch 6 | Step 400 | Loss: 3.8322
2026-06-11 00:52:35,744 - INFO - Epoch 6 | Step 500 | Loss: 3.8383
2026-06-11 00:52:54,036 - INFO - Epoch 6 | Step 600 | Loss: 3.8341
2026-06-11 00:53:09,403 - INFO - Epoch 6 | Step 700 | Loss: 3.8322
2026-06-11 00:53:24,922 - INFO - Epoch 6 | Step 800 | Loss: 3.8328
2026-06-11 00:53:43,029 - INFO - Epoch 6 | Step 900 | Loss: 3.8325
2026-06-11 00:53:58,426 - INFO - Epoch 6 | Step 1000 | Loss: 3.8319
2026-06-11 00:54:16,739 - INFO - Epoch 6 | Step 1100 | Loss: 3.8298
2026-06-11 00:54:31,971 - INFO - Epoch 6 | Step 1200 | Loss: 3.8299
2026-06-11 00:54:50,339 - INFO - Epoch 6 | Step 1300 | Loss: 3.8325
2026-06-11 00:55:05,580 - INFO - Epoch 6 | Step 1400 | Loss: 3.8324
2026-06-11 00:55:24,240 - INFO - Epoch 6 | Step 1500 | Loss: 3.8338
2026-06-11 00:55:39,922 - INFO - Epoch 6 | Step 1600 | Loss: 3.8325
2026-06-11 00:56:13,004 - INFO - Epoch 7 | Step 100 | Loss: 3.6017
2026-06-11 00:56:31,323 - INFO - Epoch 7 | Step 200 | Loss: 3.6059
2026-06-11 00:56:46,626 - INFO - Epoch 7 | Step 300 | Loss: 3.6127
2026-06-11 00:57:04,616 - INFO - Epoch 7 | Step 400 | Loss: 3.6204
2026-06-11 00:57:20,028 - INFO - Epoch 7 | Step 500 | Loss: 3.6242
2026-06-11 00:57:38,063 - INFO - Epoch 7 | Step 600 | Loss: 3.6274
2026-06-11 00:57:53,461 - INFO - Epoch 7 | Step 700 | Loss: 3.6311
2026-06-11 00:58:11,480 - INFO - Epoch 7 | Step 800 | Loss: 3.6325
2026-06-11 00:58:26,890 - INFO - Epoch 7 | Step 900 | Loss: 3.6350
2026-06-11 00:58:45,080 - INFO - Epoch 7 | Step 1000 | Loss: 3.6381
2026-06-11 00:59:00,439 - INFO - Epoch 7 | Step 1100 | Loss: 3.6403
2026-06-11 00:59:18,546 - INFO - Epoch 7 | Step 1200 | Loss: 3.6418
2026-06-11 00:59:33,936 - INFO - Epoch 7 | Step 1300 | Loss: 3.6426
2026-06-11 00:59:52,105 - INFO - Epoch 7 | Step 1400 | Loss: 3.6438
2026-06-11 01:00:07,462 - INFO - Epoch 7 | Step 1500 | Loss: 3.6456
2026-06-11 01:00:23,012 - INFO - Epoch 7 | Step 1600 | Loss: 3.6461
2026-06-11 01:00:50,598 - INFO - Epoch 8 | Step 100 | Loss: 3.4195
2026-06-11 01:01:08,691 - INFO - Epoch 8 | Step 200 | Loss: 3.4248
2026-06-11 01:01:23,952 - INFO - Epoch 8 | Step 300 | Loss: 3.4348
2026-06-11 01:01:41,934 - INFO - Epoch 8 | Step 400 | Loss: 3.4427
2026-06-11 01:01:57,140 - INFO - Epoch 8 | Step 500 | Loss: 3.4475
2026-06-11 01:02:15,101 - INFO - Epoch 8 | Step 600 | Loss: 3.4558
2026-06-11 01:02:30,351 - INFO - Epoch 8 | Step 700 | Loss: 3.4606
2026-06-11 01:02:48,377 - INFO - Epoch 8 | Step 800 | Loss: 3.4654
2026-06-11 01:03:03,585 - INFO - Epoch 8 | Step 900 | Loss: 3.4653
2026-06-11 01:03:18,835 - INFO - Epoch 8 | Step 1000 | Loss: 3.4651
2026-06-11 01:03:36,917 - INFO - Epoch 8 | Step 1100 | Loss: 3.4661
2026-06-11 01:03:52,297 - INFO - Epoch 8 | Step 1200 | Loss: 3.4715
2026-06-11 01:04:10,547 - INFO - Epoch 8 | Step 1300 | Loss: 3.4753
2026-06-11 01:04:25,817 - INFO - Epoch 8 | Step 1400 | Loss: 3.4776
2026-06-11 01:04:43,871 - INFO - Epoch 8 | Step 1500 | Loss: 3.4780
2026-06-11 01:04:59,158 - INFO - Epoch 8 | Step 1600 | Loss: 3.4782
2026-06-11 01:05:35,079 - INFO - Epoch 9 | Step 100 | Loss: 3.2609
2026-06-11 01:05:53,187 - INFO - Epoch 9 | Step 200 | Loss: 3.2799
2026-06-11 01:06:08,302 - INFO - Epoch 9 | Step 300 | Loss: 3.2762
2026-06-11 01:06:26,498 - INFO - Epoch 9 | Step 400 | Loss: 3.2810
2026-06-11 01:06:41,719 - INFO - Epoch 9 | Step 500 | Loss: 3.2882
2026-06-11 01:06:59,960 - INFO - Epoch 9 | Step 600 | Loss: 3.2908
2026-06-11 01:07:15,034 - INFO - Epoch 9 | Step 700 | Loss: 3.2965
2026-06-11 01:07:33,004 - INFO - Epoch 9 | Step 800 | Loss: 3.3016
2026-06-11 01:07:48,035 - INFO - Epoch 9 | Step 900 | Loss: 3.3062
2026-06-11 01:08:06,190 - INFO - Epoch 9 | Step 1000 | Loss: 3.3087
2026-06-11 01:08:21,509 - INFO - Epoch 9 | Step 1100 | Loss: 3.3128
2026-06-11 01:08:39,556 - INFO - Epoch 9 | Step 1200 | Loss: 3.3154
2026-06-11 01:08:55,134 - INFO - Epoch 9 | Step 1300 | Loss: 3.3174
2026-06-11 01:09:12,803 - INFO - Epoch 9 | Step 1400 | Loss: 3.3209
2026-06-11 01:09:28,197 - INFO - Epoch 9 | Step 1500 | Loss: 3.3228
2026-06-11 01:09:43,293 - INFO - Epoch 9 | Step 1600 | Loss: 3.3234
2026-06-11 01:10:10,793 - INFO - Epoch 10 | Step 100 | Loss: 3.1113
2026-06-11 01:10:28,961 - INFO - Epoch 10 | Step 200 | Loss: 3.1031
2026-06-11 01:10:43,937 - INFO - Epoch 10 | Step 300 | Loss: 3.1183
2026-06-11 01:11:02,428 - INFO - Epoch 10 | Step 400 | Loss: 3.1270
2026-06-11 01:11:17,441 - INFO - Epoch 10 | Step 500 | Loss: 3.1311
2026-06-11 01:11:35,724 - INFO - Epoch 10 | Step 600 | Loss: 3.1387
2026-06-11 01:11:50,755 - INFO - Epoch 10 | Step 700 | Loss: 3.1432
2026-06-11 01:12:09,078 - INFO - Epoch 10 | Step 800 | Loss: 3.1470
2026-06-11 01:12:24,230 - INFO - Epoch 10 | Step 900 | Loss: 3.1510
2026-06-11 01:12:42,375 - INFO - Epoch 10 | Step 1000 | Loss: 3.1538
